TaxID,Chromosomes/INSDC,,
1204414,HE802067.1,,
316058,CP000250.1,,
316057,CP000283.1,,
316056,CP000301.1,,
316055,CP000463.1,,
349163,CP000697.1,,
349101,CP000578.1,CP000577.1,
349102,CP000661.1,,
78245,CP000781.1,,
349106,CP000713.1,,
350054,CP000656.1,,
164756,CP000384.1,,
349124,CP000544.1,,
351605,CP000698.1,,
216389,CP000688.1,,
204669,CP000360.1,,
755178,CP003947.1,,
13035,CP003944.1,,
317936,CP003548.1,,
56110,CP003607.1,,
179408,CP003614.1,,
82654,CP003592.1,,
195253,CP003558.1,,
118163,CP003590.1,,
1173026,CP003646.1,,
1173025,CP003591.1,,
1173027,CP003630.1,,
111780,CP003653.1,,
1173263,CP003594.1,,
322710,CP001157.1,,
349520,CP000154.1,,
164757,CP000580.1,,
189918,CP000518.1,,
376686,CP000685.1,,
661410,FP103042.2,,
288000,CP000494.1,,
355276,CP000348.1,CP000349.1,
355277,CP000350.1,CP000351.1,
355278,CP000777.1,CP000778.1,
357348,CP000573.1,CP000572.1,
357809,CP000885.1,,
359391,AM040264.1,AM040265.1,
361100,CP000227.1,,
362242,CP000325.1,,
321327,CP000239.1,,
316067,CP001390.1,,
231023,CP003588.1,,
365046,CP000245.1,,
366394,CP000738.1,,
366602,CP000927.1,,
1184267,CP003537.1,,
349215,CP003538.1,,
369723,CP000667.1,,
399726,CP000923.1,,
376619,AM233362.1,,
316274,CP000875.1,,
375286,CP000269.1,,
138119,AP008230.1,,
360102,CP000308.1,,
377628,CP000305.1,,
546414,CP001114.1,,
381754,CP000744.1,,
1193806,CP004080.1,,
1193807,CP004079.1,,
1194085,CP003604.1,,
1194526,CP003668.1,,
1195464,CP003687.1,,
1196325,CP003734.1,,
1196835,CP003677.1,,
384676,CT573326.1,,
379731,CP000304.1,,
386415,CP000382.1,,
1198627,CP003699.1,CP003699.2,
1199187,CP005928.1,,
1121362,CP003697.1,,
1200352,CP003696.1,,
1201032,CP003871.2,,
1203460,CP003720.1,,
224911,BA000040.2,,
713604,CP003729.1,,
1207075,CP003880.1,,
446465,CP001643.1,,
390235,CP000949.1,,
391008,CP001111.1,,
391037,CP000850.1,,
391165,CP000394.1,,
1214242,CP006259.1,,
360104,CP000792.1,,
360105,CP000767.1,,
1217984,CP003747.1,,
1217737,CP003763.1,,
1218175,CP003752.1,,
391735,CP000542.1,,
1218358,CP003796.1,,
1218933,CP003776.1,,
1232554,CP007800.1,,
1221328,CP008698.1,,
1221524,CP003777.1,,
1228997,CP003787.1,,
1229785,CP003782.1,CP003781.1,
393126,CP002003.1,,
393127,CP002004.1,,
1225788,CP003838.1,,
392499,CP000699.1,,
1068978,CP009110.1,,
393115,AM286280.1,,
326424,CT573213.2,,
395019,CP000868.1,CP000870.1,CP000869.1
391038,CP001043.1,CP001044.1,
398577,CP001025.1,CP001026.1,CP001027.1
398578,CP000884.1,,
1229205,CP003864.1,CP003863.1,
394503,CP001348.1,,
398767,CP001089.1,,
400668,CP000749.1,,
399739,CP000680.1,,
399741,CP000826.1,,
358220,CP003872.1,,
399742,CP000653.1,,
398527,CP001053.1,CP001052.1,
400673,CP000675.2,,
393130,CP002001.1,,
393133,CP002002.1,,
1233100,CP004019.1,,
1235461,CP003933.1,,
76869,CP000926.1,,
402626,CP001069.1,CP001068.1,
527021,CP003889.1,,
269799,CP000148.1,,
700508,CP006936.1,CP006936.2,
404380,CP001124.1,,
405535,CP001283.1,,
405534,CP001177.1,,
1241935,CP003928.1,,
404589,CP000769.1,,
405532,CP001176.1,,
405531,CP001186.1,,
1244085,CP006648.1,,
272560,BX571965.1,BX571966.1,
1246301,CP003911.1,CP003912.1,
1246626,CP003923.1,,
69328,CP003961.1,,
1246995,CP006272.1,,
1247726,CP003915.1,,
543913,CP004348.1,,
543736,CP003949.1,,
1249661,CP004096.1,CP004095.1,
1249667,CP004384.1,CP004383.1,
1249615,CP007803.1,,
406425,CP000959.1,CP000958.1,CP000960.1
1254432,CP003969.1,,
155920,CP006696.1,,
266835,BA000012.4,,
224914,AE008918.1,AE008917.1,
96561,CP000859.1,,
481805,CP000946.1,,
1121335,CP003992.2,,
457425,CP004370.1,,
1233873,CP004008.1,,
1261129,CP004870.1,,
570416,CP004858.1,,
1121335,CP004044.1,,
1265601,CP003990.1,,
413997,CP000819.1,,
1266738,CP004022.1,,
1268072,CP004078.1,,
405441,CP001011.1,,
456442,CP000780.1,,
1278073,CP004025.1,,
1279365,CP004069.1,,
745310,CP004036.1,,
1280938,CP004061.1,,
419610,CP000908.1,,
1282356,CP004045.1,,
420247,CP000678.1,,
420246,CP000557.1,,
1283330,CP005094.1,,
1283331,CP005095.1,,
1285583,CP004350.1,,
1286170,CP004142.1,,
1286171,CP007452.1,,
1286404,CP004123.1,,
1286640,CP004140.1,,
1286528,CP007481.1,,
423212,CP001828.1,,
423368,CP001113.1,,
426118,CP001402.1,,
426117,CP000943.1,,
311424,CP001827.1,,
426355,CP001001.1,,
427318,CP001401.1,,
436114,CP001080.1,,
227882,BA000030.3,,
1166130,CP005991.1,,
428406,CP001644.1,CP001645.1,
1294143,CP004143.1,,
266834,AL591688.1,,
393305,AM286415.1,,
431943,CP000673.1,,
1121353,CP004354.1,,
243231,AE017180.2,,
1302650,CP004405.1,,
288705,CP000910.1,,
1303692,CP005080.1,,
441768,CP000896.1,,
413999,AM412317.1,,
861299,CP007128.1,CP007127.1,
439843,CP001127.1,,
439851,CP001144.1,,
439375,CP000758.1,CP000759.1,
441771,CP000727.1,,
440085,CP001298.1,,
441620,CP001029.1,,
441952,CP000915.1,,
114615,CU234118.1,,
444177,CP000817.1,,
351160,AM114193.2,,
443906,AM711867.1,,
446466,CP001964.1,,
446468,CP002040.1,CP002041.1,
446470,CP001778.1,,
446471,CP001821.1,,
447217,CP001131.1,,
649831,CP005929.1,,
402612,AM398681.2,,
452637,CP001032.1,,
452863,CP001341.1,,
1328306,CP005950.1,,
395495,CP001013.1,,
454169,CP001120.1,,
454166,CP001138.1,,
316385,CP000948.1,,
930171,CP002379.1,,
85643,CP001281.2,,
455488,CP001359.1,,
395491,CP001622.1,,
456481,CP000786.1,CP000787.1,
395960,CP001096.1,,
395492,CP001191.1,,
1331671,CP005976.1,,
483179,CP000872.1,CP000873.1,
1333848,CP007557.1,,
470137,CP000911.1,CP000912.1,
315750,CP000813.1,,
324057,CP001656.1,,
279238,CP000248.1,,
460265,CP001349.1,,
65393,CP001291.1,,
272564,CP001336.1,,
41431,CP001287.1,,
273116,BA000011.4,,
1340851,CP006245.1,,
395965,CP001280.1,,
465515,CP001628.1,,
469008,CP001509.3,,
443144,CP001661.1,,
469383,CP001854.1,,
471852,CP001738.1,,
471853,CP001618.1,,
1345697,CP006254.2,,
1346614,CP006252.1,,
471857,CP001683.1,,
395963,CP001016.1,,
1348660,CP006566.1,,
1216976,CP006958.1,,
477974,CP000860.1,,
272568,CP001189.1,,
479432,CP001814.1,,
479433,CP001700.1,,
479435,CP001736.1,,
1356852,CP006587.1,,
394,CP001389.1,,
1357279,CP007014.1,,
1358410,CP006702.1,,
1366050,CP006669.1,CP006668.1,CP006667.1
1367847,CP006650.1,,
1123269,CP006644.1,,
243164,CP000027.1,,
1639,CP007600.1,,
1388758,CP006730.1,,
63737,CP001037.1,,
1392005,CP006704.1,,
1392837,CP006742.1,,
1345695,CP006721.1,,
1400053,CP006772.1,,
272624,AE017354.1,,
1404258,CP007409.1,,
1412898,CP006845.1,,
1413214,CP006872.1,,
511145,U00096.3,,
1399115,CP006866.1,,
1415165,CP006952.1,,
1415166,CP006850.1,,
1415784,CP006863.1,,
1415629,CP006853.1,,
1415630,CP006852.1,,
386585,BA000007.2,,
1416914,CP006900.1,CP006900.2,
1423138,CP006890.1,,
227941,AE015925.1,,
1029756,CP006912.1,,
1427342,CP006931.1,,
1432050,CP006986.1,,
1429244,CP006941.1,,
1004954,CP006961.1,CP006962.1,
1435044,CP006978.1,,
1435058,CP006979.1,,
1392,CP008846.1,,
1441629,CP007039.1,,
1441628,CP007243.1,,
1441930,CP007044.1,,
661478,CP007139.1,,
1449088,CP007244.1,,
272558,BA000004.3,,
1449976,CP007155.1,,
1459636,CP007174.1,,
220341,AL513382.1,,
1452725,CP007206.1,,
1457190,CP007172.1,,
1288,CP007208.1,,
367190,CP007230.1,,
192,CP007793.1,,
333146,CP004145.1,,
1408,CP007436.1,,
930166,CP007410.1,,
1280,CP007499.1,,
316,CP007441.1,,
99287,AE006468.1,,
1639,CP007492.1,,
42256,CP007514.1,,
68570,CP007574.1,,
570416,CP007607.1,,
1392,CP007660.1,,
1421338,CP007546.1,,
633,CP008943.1,,
261591,CP007666.1,,
1392,CP007618.1,,
1405,CP007626.1,,
235,CP007681.1,CP007680.1,
235,CP007663.1,CP007662.1,
235,CP007683.1,CP007682.1,
520455,CP007705.1,CP007706.1,
520450,CP007765.1,CP007764.1,
520466,CP007760.1,CP007761.1,
224914,CP007762.1,CP007763.1,
520487,CP007719.1,CP007718.1,
103690,BA000019.2,,
95486,CP007784.1,CP007782.1,CP007783.1
292,CP007787.1,CP007786.1,CP007785.1
87883,CP008728.1,CP008730.1,CP008729.1
520454,CP007709.1,CP007710.1,
1314,CP008926.1,,
36873,CP008760.1,CP008762.1,CP008761.1
1322345,CP009072.1,,
747,CP008918.1,,
588,CP008920.1,,
382,CP009144.1,,
303,CP007620.1,,
96345,CP007627.1,,
959,CP007656.1,,
796606,CP007739.1,,
587753,CP008696.1,,
266264,CP000352.1,,
208439,CP008953.1,,
1392,CP008854.1,,
1392,CP008853.1,,
29471,CP009125.1,,
155864,CP008957.1,,
484770,CP008852.1,,
571,CP008841.1,,
1422,CP008855.1,,
266265,CP000270.1,CP000271.1,CP000272.1
1217721,CP008884.1,,
1719,CP008923.1,,
294,CP008896.1,,
237609,CP009048.1,,
979,CP009239.1,,
457428,CP009124.1,,
1538644,CP009278.1,,
160488,AE015451.1,,
160492,AE003849.1,,
883,CP001197.1,,
360911,CP001615.1,,
481743,CP001793.1,,
484022,CP000937.1,,
485914,CP001688.1,,
485917,CP001681.1,,
485918,CP001699.1,,
491916,CP001074.1,,
240015,CP001472.1,,
448385,AM746676.1,,
94624,AM902716.1,,
176299,AE007869.2,AE007870.2,
498211,CP000934.1,,
395961,CP001344.1,,
395962,CP001701.1,,
221109,BA000028.3,,
183190,AE009442.1,,
498213,CP000939.1,,
498214,CP000962.1,,
278137,CP002385.1,,
497965,CP002198.1,,
1511,FP565809.1,,
502800,CP000950.1,,
502801,CP001048.1,,
504832,CP001196.1,,
398511,CP001878.2,,
504472,CP001769.1,,
481448,CP000975.1,,
188937,AE010299.1,,
515620,CP001104.1,,
515621,CP001083.1,,
543891,CP001220.2,,
189518,AE010300.2,AE010301.2,
521011,CP001338.1,,
521096,CP001966.1,,
552536,CP001175.1,,
522772,CP001968.1,,
522306,CP001715.1,,
525904,CP001826.1,CP001825.1,
525897,CP001629.1,,
525898,CP001816.1,,
526222,CP001649.1,,
526225,CP001867.1,,
190485,AE008922.1,,
190650,AE005673.1,,
340,AM920689.1,,
536232,CP001581.1,,
535289,CP001392.1,,
198628,CP002038.1,,
192952,AE008384.1,,
545693,CP001983.1,,
545694,CP001843.1,,
545695,CP001841.1,,
522373,AM743169.1,,
195103,CP000246.1,,
543526,CP001860.1,,
543728,CP001636.1,CP001635.1,
196164,BA000035.2,,
866768,CP001665.1,,
196627,BA000036.3,,
547558,CP001994.1,,
551115,CP002059.1,,
198094,AE016879.1,,
557599,CP006835.1,,
272620,CP000647.1,,
557723,CP001321.1,,
557760,CP001151.1,CP001150.1,
561230,CP001657.1,,
561231,CP001790.1,,
561229,CP001655.1,,
572264,CP001407.1,,
568206,CP001215.1,,
203119,CP000568.1,,
565050,CP001340.1,,
634459,AP011170.1,,
568815,CP001579.1,CP001578.1,
205918,CP000075.1,,
573825,CP001222.1,CP001221.1,
572544,CP002281.1,,
572480,CP001999.1,,
573065,CP002395.1,CP002396.1,
573059,CP002297.1,,
573061,CP002160.1,,
573062,CP002210.1,,
573413,CP002116.1,,
220664,CP000076.1,,
395494,CP002159.1,,
207559,CP000112.1,,
153948,CP002552.1,,
577650,CP002364.1,,
588858,CP001363.1,,
208964,AE004091.2,,
580331,CP001936.1,,
443143,CP002479.1,,
580340,CP003096.1,,
582899,CP002083.1,,
211586,AE014299.2,,
592021,CP001598.1,,
75379,CP002021.1,,
590409,CP001836.1,,
523846,CP002278.1,,
590998,CP002666.1,,
591167,CP002475.1,,
592316,CP002433.1,,
536019,CP002279.1,,
626418,CP001503.2,CP001504.2,
214092,AL590842.1,,
216596,AM236080.1,,
622759,CP001722.1,,
527001,CP002099.1,,
218491,BX950851.1,,
218495,AM946015.1,,
222891,CP000237.1,,
223283,AE016853.1,,
637380,CP001746.1,,
653938,CP001602.1,CP001602.2,
637381,CP001604.1,,
633145,CP001924.1,,
209261,AE014613.1,,
509190,CP002008.1,,
83332,CP003248.2,,
639283,CP002026.1,,
640081,CP003153.1,,
272568,AM889285.1,,
640131,CP001891.1,,
640510,CP002520.1,CP002519.1,
640511,CP002013.1,CP002014.1,CP002015.1
640512,CP002217.1,CP002218.1,
643561,CP002521.1,,
643562,CP002431.1,,
298654,CP002299.1,,
644282,CP002085.1,,
644283,CP002162.1,,
644966,CP002344.1,,
251229,CP003597.1,,
862751,CP002993.1,,
649349,CP002305.1,,
648999,CP002399.1,,
226900,AE016877.1,,
649639,CP002394.1,,
246196,CP001663.1,,
652103,CP002418.1,,
531844,CP001673.1,,
208963,CP000438.1,,
655816,CP002183.1,,
656024,CP002801.1,,
662598,AM889136.1,,
292563,CP003940.1,,
663917,CP002031.1,,
226186,AE015928.1,,
552811,CP002084.1,,
743835,CP001970.1,,
673518,CP001974.1,,
387344,CP000416.1,,
675635,CP002593.1,,
679896,CP001809.2,,
679901,CP002101.1,,
679926,CP002117.1,,
679936,CP003179.1,,
227377,AE016828.2,,
504832,CP002826.1,,
682634,CP006250.1,,
707241,CP001830.1,,
640513,CP003026.1,,
688269,CP002351.1,,
608538,CP002221.1,,
596153,CP002449.1,,
520461,CP002078.1,CP002079.1,
693977,CP002536.1,,
693982,CP002783.1,CP002781.1,CP002782.1
694427,CP002345.1,,
697281,CP002360.1,,
697329,CP002403.1,,
698758,AP012050.1,,
698761,CP004015.1,,
698963,CP003210.1,,
698971,CP003217.1,,
698973,CP003209.1,,
592022,CP001982.1,,
698936,CP002740.1,,
700598,CP003178.1,,
