otu	Andisols	Gelisols	Vertisols	Mollisols	Inceptisols	Alfisols	Ultisols	Sand,Rock,Ice	Entisols
4302300	0.0	0.0	0.0	45.0	0.0	48.0	0.0	0.0	0.0
13024	0.0	0.0	0.0	0.0	0.0	47.0	0.0	0.0	0.0
2772794	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
823809	0.0	0.0	0.0	72.0	0.0	9.0	0.0	0.0	0.0
4431608	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
111129	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0
14592	0.0	0.0	0.0	7.0	0.0	340.0	0.0	0.0	0.0
993455	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
New.9.CleanUp.ReferenceOTU43792	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
New.9.CleanUp.ReferenceOTU125896	3.0	73.0	0.0	7.0	17.0	2.0	0.0	6.0	0.0
New.9.CleanUp.ReferenceOTU132755	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
New.9.CleanUp.ReferenceOTU182843	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
New.11.CleanUp.ReferenceOTU76228	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
820543	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3201462	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2188623	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4460895	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
4308446	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4372695	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
616997	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0
New.12.CleanUp.ReferenceOTU144840	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
New.12.CleanUp.ReferenceOTU146129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2940299	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0
511129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
New.13.CleanUp.ReferenceOTU30545	0.0	0.0	0.0	21.0	3.0	0.0	0.0	0.0	0.0
New.13.CleanUp.ReferenceOTU513670	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
New.13.CleanUp.ReferenceOTU516929	0.0	0.0	0.0	0.0	0.0	45.0	0.0	0.0	0.0
