SampleID	LONGITUDE	LATITUDE	COUNTRY	Soil_Order	Order_Name
Os.low.16to0.2.647020	-156.590533	71.25635	GAZ:United States of America	1	Gelisols
Start.Hopland.20C.T0.03.590984	-123.07	38.99	GAZ:United States of America	9	Mollisols
O1.high.16to0.2.647003	-156.388733	71.2466	GAZ:United States of America	1	Gelisols
UPMain.29.30A.646713	-71.37761	42.06	GAZ:United States of America	10	Alfisols
UPSub.3.4.646823	-71.37761	42.06	GAZ:United States of America	10	Alfisols
Biofilm.B.E1.2.C.2012.733920	-156.766389	71.295556	GAZ:United States of America	1	Gelisols
UPSub.9.10.646884	-71.37761	42.06	GAZ:United States of America	10	Alfisols
G.3.30.660504	-155.786954	20.104717	GAZ:United States of America	4	Andisols
KA3F.A.22.674418	-88.230357	41.840732	GAZ:United States of America	9	Mollisols
UPMain.122.123A.646696	-71.37761	42.06	GAZ:United States of America	10	Alfisols
WM.4.0.660523	-155.773634	20.12228	GAZ:United States of America	4	Andisols
E.4.0.660602	-155.805003	20.098048	GAZ:United States of America	4	Andisols
Soil.BE.PolygonB.Medium.Rim.7.28.2012.733890	-156.766389	71.295556	GAZ:United States of America	1	Gelisols
DP.21.22A.1.646890	-72.7	42.17566	GAZ:United States of America	10	Alfisols
UPMain.23.24.646853	-71.37761	42.06	GAZ:United States of America	10	Alfisols
KA3F.E.01.674680	-88.230357	41.840733	GAZ:United States of America	9	Mollisols
Soil.BE.PolygonA.Shallow.Center.7.15.2012.733888	-156.766389	71.295556	GAZ:United States of America	1	Gelisols
KA2F.C.03.674694	-88.230357	41.841118	GAZ:United States of America	9	Mollisols
KA3U.E.02.674515	-88.230357	41.840717	GAZ:United States of America	9	Mollisols
UPMain.73.74.646899	-71.37761	42.06	GAZ:United States of America	10	Alfisols
KA1U.D.13.674111	-88.230357	41.841527	GAZ:United States of America	9	Mollisols
KA3U.B.17.674151	-88.230357	41.840719	GAZ:United States of America	9	Mollisols
KA1U.D.21.674467	-88.230357	41.841527	GAZ:United States of America	9	Mollisols
TVF.2004.Loc4.D10.Rep1.414474	-145.64	64.35	GAZ:United States of America	11	Inceptisols
KA1F.B.07.674354	-88.230357	41.841508	GAZ:United States of America	9	Mollisols
KA2U.E.22.674710	-88.230357	41.841126	GAZ:United States of America	9	Mollisols
WM.3.30.660544	-155.773634	20.12228	GAZ:United States of America	4	Andisols
KA1U.D.23.674099	-88.230357	41.841527	GAZ:United States of America	9	Mollisols
KA3F.A.14.674654	-88.230357	41.840732	GAZ:United States of America	9	Mollisols
KA2U.A.15.674330	-88.230357	41.841111	GAZ:United States of America	9	Mollisols
KA1F.B.02.674209	-88.230357	41.841508	GAZ:United States of America	9	Mollisols
DP.5.6A.1.646948	-72.7	42.17566	GAZ:United States of America	10	Alfisols
KA1U.D.25.674365	-88.230357	41.841527	GAZ:United States of America	9	Mollisols
KA1U.B.04.674666	-88.230357	41.841519	GAZ:United States of America	9	Mollisols
KA2U.D.05.674610	-88.230357	41.841123	GAZ:United States of America	9	Mollisols
UPMain.104.105.646908	-71.37761	42.06	GAZ:United States of America	10	Alfisols
KA1F.E.23.674415	-88.230357	41.841518	GAZ:United States of America	9	Mollisols
UPSub.89.90.646725	-71.37761	42.06	GAZ:United States of America	10	Alfisols
KA3U.C.23.674118	-88.230357	41.840715	GAZ:United States of America	9	Mollisols
KA3F.E.12.674241	-88.230357	41.840733	GAZ:United States of America	9	Mollisols
PP.15.16B.646675	-71.3412	42.30844	GAZ:United States of America	10	Alfisols
KA3U.A.10.674152	-88.230357	41.840733	GAZ:United States of America	9	Mollisols
KA2F.A.25.674334	-88.230357	41.841116	GAZ:United States of America	9	Mollisols
AK.19.18a.414617	-147.501078	65.154987	GAZ:United States of America	11	Inceptisols
SKM4.640180	-117.241111	33.193611	GAZ:United States of America	10	Alfisols
TVF.2004.Loc1.D10.Rep5.414434	-145.64	64.35	GAZ:United States of America	11	Inceptisols
KA1U.C.14.674168	-88.230357	41.841526	GAZ:United States of America	9	Mollisols
WF.2.0.660483	-155.726841	20.109386	GAZ:United States of America	4	Andisols
Biofilm.A.E1.1.W.2012.733887	-156.766389	71.295556	GAZ:United States of America	1	Gelisols
DP.2.3B.646803	-72.7	42.17566	GAZ:United States of America	10	Alfisols
KA3F.E.13.674231	-88.230357	41.840733	GAZ:United States of America	9	Mollisols
Start.Hopland.14C.T0.01.590975	-123.07	38.99	GAZ:United States of America	9	Mollisols
KA2U.D.08.674601	-88.230357	41.841123	GAZ:United States of America	9	Mollisols
TVF.Control.Loc4.D10.Rep4.414494	-145.8	64.33	GAZ:United States of America	11	Inceptisols
CC1.2.378656	-94.598347	46.74528	GAZ:United States of America	12	Entisols
UPSub.45.46.646801	-71.37761	42.06	GAZ:United States of America	10	Alfisols
PP.112.113A.646882	-71.3412	42.30844	GAZ:United States of America	10	Alfisols
AK.19.15a.414612	-147.496392	65.155308	GAZ:United States of America	11	Inceptisols
TVF.2004.Loc4.D0.Rep1.414490	-145.64	64.35	GAZ:United States of America	11	Inceptisols
KA1U.A.11.674482	-88.230357	41.841522	GAZ:United States of America	9	Mollisols
KA2F.A.09.674521	-88.230357	41.841116	GAZ:United States of America	9	Mollisols
UPSub.90.91.646623	-71.37761	42.06	GAZ:United States of America	10	Alfisols
KA1U.E.25.674297	-88.230357	41.84151	GAZ:United States of America	9	Mollisols
KA1U.C.09.674048	-88.230357	41.841526	GAZ:United States of America	9	Mollisols
KA1U.A.25.674085	-88.230357	41.841522	GAZ:United States of America	9	Mollisols
UPMain.11.12A.646741	-71.37761	42.06	GAZ:United States of America	10	Alfisols
KA3U.E.16.674422	-88.230357	41.840717	GAZ:United States of America	9	Mollisols
UPSub.64.65.646773	-71.37761	42.06	GAZ:United States of America	10	Alfisols
KA3U.A.19.674372	-88.230357	41.840733	GAZ:United States of America	9	Mollisols
PP.51.52A.646965	-71.3412	42.30844	GAZ:United States of America	10	Alfisols
KA1U.B.01.674281	-88.230357	41.841519	GAZ:United States of America	9	Mollisols
KA1U.B.15.674707	-88.230357	41.841519	GAZ:United States of America	9	Mollisols
PP.91.92B.646665	-71.3412	42.30844	GAZ:United States of America	10	Alfisols
UPMain.13.14A.646671	-71.37761	42.06	GAZ:United States of America	10	Alfisols
B.C.0.1.414809	-157.75	64.49	GAZ:United States of America	11	Inceptisols
KA1U.C.18.674246	-88.230357	41.841526	GAZ:United States of America	9	Mollisols
KA2U.D.17.674411	-88.230357	41.841123	GAZ:United States of America	9	Mollisols
KA3U.D.04.674364	-88.230357	41.840726	GAZ:United States of America	9	Mollisols
KA2U.C.10.674617	-88.230357	41.841121	GAZ:United States of America	9	Mollisols
KA3U.E.22.674504	-88.230357	41.840717	GAZ:United States of America	9	Mollisols
MW.3.15.660597	-155.772085	20.122801	GAZ:United States of America	4	Andisols
UPSub.94.95.646940	-71.37761	42.06	GAZ:United States of America	10	Alfisols
Biofilm.B.DC.2.C.2012.733906	-156.766389	71.295556	GAZ:United States of America	1	Gelisols
TVF.2010.Loc3.D0.Rep4.414491	-145.69	64.33	GAZ:United States of America	0	Sand,Rock,Ice
KA1U.B.09.674360	-88.230357	41.841519	GAZ:United States of America	9	Mollisols
DP.80.81A.2.646693	-72.7	42.17566	GAZ:United States of America	10	Alfisols
KA1U.B.08.674543	-88.230357	41.841519	GAZ:United States of America	9	Mollisols
J.2.15.660499	-155.769747	20.108446	GAZ:United States of America	4	Andisols
KA1F.B.01.674433	-88.230357	41.841508	GAZ:United States of America	9	Mollisols
UPMain.100.101B.646817	-71.37761	42.06	GAZ:United States of America	10	Alfisols
KA1U.C.11.674604	-88.230357	41.841526	GAZ:United States of America	9	Mollisols
